,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
63784,MCO,Europe,Monaco,2021-07-31,2889.0,16.0,15.714,33.0,0.0,0.0,73616.349,407.70599999999996,400.425,840.893,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
64294,MNG,Asia,Mongolia,2021-07-31,164155.0,1286.0,1275.857,815.0,6.0,6.857,50073.331,392.277,389.18300000000005,248.605,1.83,2.092,,,,,,,,,,,,,,,,,,,,,,,14321.0,,,,4368.0,,3278292.0,1.98,28.6,4.031000000000001,2.421,11840.846000000001,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,
64797,MNE,Europe,Montenegro,2021-07-31,101927.0,142.0,123.714,1630.0,1.0,0.857,162288.11800000002,226.092,196.97799999999998,2595.285,1.5919999999999999,1.365,,,,,,,,,,,,,,,,,,,329968.0,176140.0,153828.0,2368.0,2045.0,52.54,28.05,24.49,3256.0,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.8290000000000001,
65505,MAR,Africa,Morocco,2021-07-31,623528.0,7529.0,6909.429,9785.0,53.0,32.286,16892.944,203.98,187.19400000000002,265.1,1.436,0.875,,,,,,,,,,,,,,,,,,,23755510.0,13631005.0,10124505.0,106032.0,319011.0,64.36,36.93,27.43,8643.0,,36910558.0,80.08,29.6,6.769,4.209,7485.013000000001,1.0,419.14599999999996,7.14,0.8,47.1,,1.1,76.68,0.6859999999999999,
66003,MOZ,Africa,Mozambique,2021-07-31,122028.0,2078.0,1895.4289999999999,1434.0,27.0,25.285999999999998,3904.217,66.484,60.643,45.88,0.8640000000000001,0.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.94199999999995,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
66496,MMR,Asia,Myanmar,2021-07-31,299185.0,4725.0,4951.143,9334.0,392.0,368.286,5498.734,86.84100000000001,90.99700000000001,171.55,7.205,6.769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54409794.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.28699999999999,0.9,67.13,0.583,
67002,NAM,Africa,Namibia,2021-07-31,118922.0,493.0,447.0,3044.0,45.0,40.571,46802.807,194.025,175.921,1197.993,17.71,15.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04,2540916.0,3.0780000000000003,22.0,3.552,2.085,9541.808,13.4,243.81099999999998,3.94,9.7,34.2,44.6,,63.71,0.6459999999999999,
67668,NPL,Asia,Nepal,2021-07-31,695389.0,2280.0,2338.857,9857.0,23.0,23.143,23866.341,78.252,80.27199999999999,338.301,0.789,0.794,,,,,,,,,,,,,,,,,,,5682627.0,3936724.0,1745903.0,,134193.0,19.5,13.51,5.99,4606.0,,29136808.0,204.43,25.0,5.809,3.2119999999999997,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,
68190,NLD,Europe,Netherlands,2021-07-31,1895343.0,3062.0,3919.429,18114.0,6.0,4.571000000000001,110613.192,178.7,228.74,1057.142,0.35,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.9440000000000001,
68887,NZL,Oceania,New Zealand,2021-07-31,2874.0,3.0,1.571,26.0,0.0,0.0,595.989,0.622,0.326,5.392,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4822233.0,18.206,37.9,15.322000000000001,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.9309999999999999,
